"","Disposition.y","Proportion","mean_accuracy","n","se"
"1","frown",40,0.25,112,0.091901827761726
"2","frown",45,0.160714285714286,112,0.0936819864215421
"3","frown",50,-0.25,112,0.091901827761726
"4","frown",55,-0.267857142857143,112,0.0914474471747486
"5","frown",60,-0.214285714285714,112,0.0927110027121995
"6","smile",40,0.25,112,0.091901827761726
"7","smile",45,0.160714285714286,112,0.0936819864215421
"8","smile",50,0.25,112,0.091901827761726
"9","smile",55,-0.267857142857143,112,0.0914474471747486
"10","smile",60,-0.214285714285714,112,0.0927110027121995
