ID,Proportion,Response,Disposition
xjms73jd7m,40,j,frown
xjms73jd7m,45,j,frown
xjms73jd7m,50,f,frown
xjms73jd7m,55,f,frown
xjms73jd7m,60,f,frown
xjms73jd7m,40,f,smile
xjms73jd7m,45,f,smile
xjms73jd7m,50,f,smile
xjms73jd7m,55,f,smile
xjms73jd7m,60,f,smile
xjms73jd7m,40,f,frown
xjms73jd7m,45,f,frown
xjms73jd7m,50,f,frown
xjms73jd7m,55,f,frown
xjms73jd7m,60,f,frown
xjms73jd7m,40,f,smile
xjms73jd7m,45,f,smile
xjms73jd7m,50,f,smile
xjms73jd7m,55,f,smile
xjms73jd7m,60,j,smile
x9393zclmq,40,j,frown
x9393zclmq,45,j,frown
x9393zclmq,50,j,frown
x9393zclmq,55,j,frown
x9393zclmq,60,j,frown
x9393zclmq,40,f,smile
x9393zclmq,45,f,smile
x9393zclmq,50,f,smile
x9393zclmq,55,f,smile
x9393zclmq,60,f,smile
x9393zclmq,40,j,frown
x9393zclmq,45,j,frown
x9393zclmq,50,j,frown
x9393zclmq,55,j,frown
x9393zclmq,60,j,frown
x9393zclmq,40,f,smile
x9393zclmq,45,f,smile
x9393zclmq,50,f,smile
x9393zclmq,55,f,smile
x9393zclmq,60,f,smile
x0nvtg7xet,40,f,frown
x0nvtg7xet,45,f,frown
x0nvtg7xet,50,f,frown
x0nvtg7xet,55,f,frown
x0nvtg7xet,60,f,frown
x0nvtg7xet,40,j,smile
x0nvtg7xet,45,j,smile
x0nvtg7xet,50,f,smile
x0nvtg7xet,55,f,smile
x0nvtg7xet,60,f,smile
x0nvtg7xet,40,f,frown
x0nvtg7xet,45,f,frown
x0nvtg7xet,50,f,frown
x0nvtg7xet,55,f,frown
x0nvtg7xet,60,f,frown
x0nvtg7xet,40,f,smile
x0nvtg7xet,45,f,smile
x0nvtg7xet,50,f,smile
x0nvtg7xet,55,f,smile
x0nvtg7xet,60,f,smile
wvr17xt1s7,40,f,frown
wvr17xt1s7,45,f,frown
wvr17xt1s7,50,f,frown
wvr17xt1s7,55,f,frown
wvr17xt1s7,60,f,frown
wvr17xt1s7,40,f,smile
wvr17xt1s7,45,f,smile
wvr17xt1s7,50,f,smile
wvr17xt1s7,55,f,smile
wvr17xt1s7,60,j,smile
wvr17xt1s7,40,f,frown
wvr17xt1s7,45,f,frown
wvr17xt1s7,50,f,frown
wvr17xt1s7,55,j,frown
wvr17xt1s7,60,j,frown
wvr17xt1s7,40,j,smile
wvr17xt1s7,45,j,smile
wvr17xt1s7,50,j,smile
wvr17xt1s7,55,j,smile
wvr17xt1s7,60,f,smile
t7noktjjj0,40,f,frown
t7noktjjj0,45,f,frown
t7noktjjj0,50,f,frown
t7noktjjj0,55,f,frown
t7noktjjj0,60,f,frown
t7noktjjj0,40,j,smile
t7noktjjj0,45,j,smile
t7noktjjj0,50,j,smile
t7noktjjj0,55,j,smile
t7noktjjj0,60,j,smile
t7noktjjj0,40,f,frown
t7noktjjj0,45,f,frown
t7noktjjj0,50,f,frown
t7noktjjj0,55,f,frown
t7noktjjj0,60,f,frown
t7noktjjj0,40,j,smile
t7noktjjj0,45,j,smile
t7noktjjj0,50,j,smile
t7noktjjj0,55,j,smile
t7noktjjj0,60,j,smile
t0jhr1x27x,40,f,frown
t0jhr1x27x,45,j,frown
t0jhr1x27x,50,j,frown
t0jhr1x27x,55,j,frown
t0jhr1x27x,60,j,frown
t0jhr1x27x,40,f,smile
t0jhr1x27x,45,f,smile
t0jhr1x27x,50,f,smile
t0jhr1x27x,55,f,smile
t0jhr1x27x,60,f,smile
t0jhr1x27x,40,f,frown
t0jhr1x27x,45,f,frown
t0jhr1x27x,50,f,frown
t0jhr1x27x,55,f,frown
t0jhr1x27x,60,f,frown
t0jhr1x27x,40,f,smile
t0jhr1x27x,45,f,smile
t0jhr1x27x,50,f,smile
t0jhr1x27x,55,f,smile
t0jhr1x27x,60,f,smile
stwkx8zeda,40,f,frown
stwkx8zeda,45,f,frown
stwkx8zeda,50,f,frown
stwkx8zeda,55,f,frown
stwkx8zeda,60,f,frown
stwkx8zeda,40,f,smile
stwkx8zeda,45,j,smile
stwkx8zeda,50,f,smile
stwkx8zeda,55,j,smile
stwkx8zeda,60,f,smile
stwkx8zeda,40,f,frown
stwkx8zeda,45,f,frown
stwkx8zeda,50,j,frown
stwkx8zeda,55,f,frown
stwkx8zeda,60,f,frown
stwkx8zeda,40,j,smile
stwkx8zeda,45,j,smile
stwkx8zeda,50,j,smile
stwkx8zeda,55,j,smile
stwkx8zeda,60,j,smile
qrpq4nqkst,40,f,frown
qrpq4nqkst,45,f,frown
qrpq4nqkst,50,f,frown
qrpq4nqkst,55,f,frown
qrpq4nqkst,60,f,frown
qrpq4nqkst,40,j,smile
qrpq4nqkst,45,j,smile
qrpq4nqkst,50,j,smile
qrpq4nqkst,55,j,smile
qrpq4nqkst,60,j,smile
qrpq4nqkst,40,f,frown
qrpq4nqkst,45,f,frown
qrpq4nqkst,50,f,frown
qrpq4nqkst,55,f,frown
qrpq4nqkst,60,f,frown
qrpq4nqkst,40,j,smile
qrpq4nqkst,45,j,smile
qrpq4nqkst,50,j,smile
qrpq4nqkst,55,j,smile
qrpq4nqkst,60,j,smile
skpohpulf4,40,f,frown
skpohpulf4,45,f,frown
skpohpulf4,50,f,frown
skpohpulf4,55,f,frown
