ID,eomz4g57ck,b5183qbwfj,dm31sblpep,dwfmm3lymt,eemkkolgs1,wvr17xt1s7,xjms73jd7m,x9393zclmq,x7bu4pz4z2,x0nvtg7xet,uycua16rbs,t7noktjjj0,t0jhr1x27x,stwkx8zeda,skpohpulf4,shyol8ubb1,s4cum2n0sf,rx0887ru1s,rv437srgtr,rsexglawvx,qrpq4nqkst,orwk4a369r,nz1u6exavc,n5jc5b7lqy,luo4lgnyn9,jzj9vy17ye,hjtzujseho,hdpo4aekpk,gwcmmqyoq8,fl1h3xzp9l,68ybbleft1,18fwdebdv3,9tpropomro,9dh7ecg3xr,6ld5s60j5a,5gfekse2ql,3zmwaqv271
Q_gender,Man,Woman,Man,Woman,Man,Woman,Man,Woman,Man,Woman,Man,Woman,Man,Man,Woman,Woman,Nonbinary/other,Woman,Woman,Woman,Woman,Man,Man,Man,Woman,Man,Man,Woman,Woman,Woman,Man,Man,Man,Man,Man,Woman,Man
Q_age,25-34,25-34,35-44,45-54,18-24,65+,45-54,18-24,45-54,35-44,35-44,35-44,35-44,35-44,45-54,55-64,18-24,35-44,25-34,65+,55-64,25-34,35-44,25-34,65+,35-44,55-64,55-64,35-44,55-64,25-34,35-44,45-54,45-54,45-54,45-54,35-44
Question,"{""Question1"":""Slightly Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Slightly Disagree"",""Question6"":""Slightly Agree"",""Question7"":""Definitely Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Disagree"",""Question6"":""Definitely Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Agree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Agree"",""Question7"":""Definitely Agree"",""Question8"":""Slightly Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Definitely Agree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Definitely Disagree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Disagree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Definitely Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Disagree"",""Question6"":""Slightly Disagree"",""Question7"":""Definitely Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Disagree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Definitely Agree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Definitely Agree"",""Question5"":""Definitely Agree"",""Question6"":""Definitely Agree"",""Question7"":""Definitely Agree"",""Question8"":""Definitely Agree"",""Question9"":""Definitely Disagree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Definitely Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Definitely Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Disagree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Definitely Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Disagree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Definitely Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Disagree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Definitely Agree"",""Question7"":""Slightly Agree"",""Question8"":""Definitely Agree"",""Question9"":""Definitely Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Disagree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Agree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Disagree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Disagree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Definitely Agree"",""Question5"":""Definitely Agree"",""Question6"":""Definitely Agree"",""Question7"":""Definitely Agree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Disagree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Slightly Agree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Definitely Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Disagree"",""Question9"":""Definitely Disagree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Disagree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Agree"",""Question6"":""Definitely Agree"",""Question7"":""Definitely Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Slightly Agree"",""Question3"":""Definitely Disagree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Disagree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Disagree"",""Question8"":""Definitely Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Definitely Agree""}","{""Question1"":""Definitely Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Definitely Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Definitely Disagree"",""Question9"":""Definitely Disagree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Agree"",""Question2"":""Slightly Agree"",""Question3"":""Definitely Disagree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Disagree"",""Question6"":""Slightly Disagree"",""Question7"":""Definitely Disagree"",""Question8"":""Slightly Disagree"",""Question9"":""Definitely Agree"",""Question10"":""Definitely Agree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Disagree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Disagree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Slightly Agree"",""Question3"":""Slightly Agree"",""Question4"":""Definitely Agree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Disagree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Disagree"",""Question10"":""Slightly Agree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Agree"",""Question5"":""Definitely Disagree"",""Question6"":""Definitely Agree"",""Question7"":""Slightly Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Slightly Agree""}","{""Question1"":""Slightly Disagree"",""Question2"":""Slightly Disagree"",""Question3"":""Slightly Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Slightly Agree"",""Question6"":""Slightly Agree"",""Question7"":""Slightly Disagree"",""Question8"":""Slightly Agree"",""Question9"":""Slightly Agree"",""Question10"":""Slightly Agree""}","{""Question1"":""Definitely Disagree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Definitely Agree"",""Question8"":""Slightly Agree"",""Question9"":""Definitely Agree"",""Question10"":""Definitely Disagree""}","{""Question1"":""Definitely Agree"",""Question2"":""Definitely Disagree"",""Question3"":""Definitely Agree"",""Question4"":""Slightly Disagree"",""Question5"":""Definitely Agree"",""Question6"":""Slightly Agree"",""Question7"":""Definitely Agree"",""Question8"":""Definitely Agree"",""Question9"":""Slightly Disagree"",""Question10"":""Definitely Disagree""}"
attention_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
attention_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
attention_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
attention_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rt_attention_1,2755,3163,9600,4621,2487,2462,9793,2278,3644,3311,4305,2876,2624,3844,3006,3985,1771,1930,3870,4866,2902,2234,3039,20609,3276,3236,3546,2942,3545,4015,2866,2439,2811,3826,4409,3003,2010
rt_attention_2,5236,3439,3848,6237,2538,2671,5128,1783,31234,2484,3797,2527,2201,3287,2895,1847,1676,1867,3620,4022,2675,2316,3904,3630,2416,3151,3022,2740,2864,2856,2529,1939,2986,2927,5136,3029,2226
rt_attention_3,3220,4285,4357,3250,2491,2538,4031,2234,44769,2633,4189,3115,7946,3741,4804,3279,1830,1573,6463,4948,3099,1899,3263,2276,2320,3412,2509,2778,3090,3830,3184,3032,3449,2528,4906,2846,2461
